opinion_seas_risk,opinion_seas_vacc_effective,doctor_recc_seasonal,health_worker,health_insurance,h1n1_knowledge,rent_or_own,age_group,income_poverty,race,employment_industry,employment_occupation
1.0,0.4,0.25,0.14,0.04,0.12,-0.03,0.04,0.05,0.03,-0.05,-0.09
0.4,1.0,0.19,0.07,0.06,0.11,-0.04,0.11,0.04,0.05,-0.03,-0.05
0.25,0.19,1.0,0.1,0.08,0.12,-0.06,0.11,0.04,0.0,-0.02,-0.06
0.14,0.07,0.1,1.0,0.06,0.22,-0.05,0.03,0.02,0.03,-0.29,-0.35
0.04,0.06,0.08,0.06,1.0,0.16,-0.22,0.17,-0.02,0.16,-0.1,-0.1
0.12,0.11,0.12,0.22,0.16,1.0,-0.12,0.07,0.06,0.14,-0.12,-0.14
-0.03,-0.04,-0.06,-0.05,-0.22,-0.12,1.0,-0.28,-0.09,-0.21,0.04,0.03
0.04,0.11,0.11,0.03,0.17,0.07,-0.28,1.0,-0.05,0.15,-0.01,0.04
0.05,0.04,0.04,0.02,-0.02,0.06,-0.09,-0.05,1.0,-0.05,-0.04,0.02
0.03,0.05,0.0,0.03,0.16,0.14,-0.21,0.15,-0.05,1.0,-0.01,-0.03
-0.05,-0.03,-0.02,-0.29,-0.1,-0.12,0.04,-0.01,-0.04,-0.01,1.0,0.08
-0.09,-0.05,-0.06,-0.35,-0.1,-0.14,0.03,0.04,0.02,-0.03,0.08,1.0
